Unnamed: 0.1,reaction,electrophile SMILES,nucleophile SMILES,ReactionSMILES,"3,3â€™ Catalyst Substituent ",N Catalyst Substituent,catalyst SMILES,solvent,time (hours),temperature (Celsius),Temperature K,% yield,e.r. 1,e.r. 2,d.r.,ee,ddG,Conversion %,r.r. (regioisomeric ratio),reference,"CatalystSMILES
",Unnamed: 0,ster1,ster2,ster3,Dih,Atom1_charge,Valance_atom1,Rydberg_atom1,TotalNBO_atom1,Atom2_charge,Valance_atom2,Rydberg_atom2,TotalNBO_atom2,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur35,Vbur5,Vbur75,old_name,missing,smiles_x,L_x,Bmin_x,Bmax_x,bur_shell_x,bur_vol_x,max_distance_x,tot_V_x,disp_x,max_axis_x,A2_x,min_axis_x,smiles_y,L_y,Bmin_y,Bmax_y,bur_shell_y,bur_vol_y,max_distance_y,tot_V_y,disp_y,max_axis_y,A2_y,min_axis_y,nL,nBmin,nBmax,nbur_vol
0,1a,O=Cc2ccc1ccccc1c2,C=CC[Si](C)(C)C,O=Cc2ccc1ccccc1c2C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,96,-78,195.15,92,96.0,4.0,,92.0,1.23171164911491,,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201607828,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,O=Cc2ccc1ccccc1c2,8.49836473,1.7,6.761052286396979,0.0,25.972381199051988,8.414553065240689,60.02992469553755,3.1342240635277663,8.303716852831574,0.6476064545371828,0.1618970869611867,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
1,1b,COc2ccc1cc(C=O)ccc1c2,C=CC[Si](C)(C)C,COc2ccc1cc(C=O)ccc1c2C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,192,-78,195.15,80,94.0,6.0,,88.0,1.06640676305151,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,COc2ccc1cc(C=O)ccc1c2,6.2477981,1.7,9.937751867763817,0.0,28.67157065820943,10.08786913852921,100.78898889929997,9.546624387073072,9.99164199408515,0.5730526679873356,0.1763225896452419,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
2,1c,O=Cc2ccc1cc(Br)ccc1c2,C=CC[Si](C)(C)C,O=Cc2ccc1cc(Br)ccc1c2C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,192,-78,195.15,57,93.0,7.0,,86.0,1.00251775704442,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,O=Cc2ccc1cc(Br)ccc1c2,8.36315257,1.7,8.398763173700285,0.0,26.304176791271832,9.17117207119272,55.29896625836303,8.65866569986805,9.104759565853126,0.5786977726774529,0.1266075943944246,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
3,1d,O=Cc1ccccc1,C=CC[Si](C)(C)C,O=Cc1ccccc1C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,48,-78,195.15,85,91.0,9.0,,82.0,0.896690630869186,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,O=Cc1ccccc1,6.32107717,1.7,5.655453446692043,0.0,26.2963674695943,6.066186465050455,17.020059672442688,2.728941224257863,6.063963283004442,0.7443390963132024,0.1025464330413215,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
4,1e,O=Cc1ccccc1F,C=CC[Si](C)(C)C,O=Cc1ccccc1FC=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,48,-60,213.15,82,92.0,8.0,,84.0,1.03388433338965,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,O=Cc1ccccc1F,6.194293979999999,1.7,5.726772928925911,0.0,28.959864204183884,6.070057757481477,19.49373320602817,2.1676675489332413,6.015140912441103,0.7366336661405762,0.1215922899019709,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
5,1f,Cc1ccccc1C=O,C=CC[Si](C)(C)C,Cc1ccccc1C=OC=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,48,-70,203.15,96,87.0,13.0,,74.0,0.766953027860026,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,Cc1ccccc1C=O,6.41675975,1.7807234954790991,5.058585255743827,0.0,35.339941962147286,6.054105478364583,63.099902640904304,6.061535961463684,5.617587997140266,0.9545337035992428,0.3728960380720273,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
6,1g,Cc1cccc(C=O)c1,C=CC[Si](C)(C)C,Cc1cccc(C=O)c1C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,72,-78,195.15,99,90.5,9.5,,81.0,0.873600545730249,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,Cc1cccc(C=O)c1,6.45042663,1.8251693455845848,5.103689950555115,0.0,31.446444982872418,6.686295761049959,81.6005093224528,6.831222533576266,6.631723326982546,0.7216271602504339,0.387704463513115,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
7,1h,Cc1ccc(C=O)cc1,C=CC[Si](C)(C)C,Cc1ccc(C=O)cc1C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,72,-78,195.15,93,95.0,5.0,,90.0,1.14117003183368,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,Cc1ccc(C=O)cc1,7.842107909999999,1.882149569654152,3.2270017201769017,0.0,31.22967747146316,7.081914963641578,54.53589516661897,2.234401214454904,6.87977728422892,0.637650605308303,0.262649472011866,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
8,1i,CC(C)(C)c1ccc(C=O)cc1,C=CC[Si](C)(C)C,CC(C)(C)c1ccc(C=O)cc1C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,72,-78,195.15,81,95.5,4.5,,91.0,1.18403886746725,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,CC(C)(C)c1ccc(C=O)cc1,6.26802633,2.824362460319633,7.277899117429577,0.0,43.07575658412347,8.271658069147582,139.66884096498373,3.137825448708167,8.06621109109096,0.5159996816874581,0.5157525047725724,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
9,1j,O=C/C=C/c1ccccc1,C=CC[Si](C)(C)C,O=C/C=C/c1ccccc1C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,O=S(=O)(N=P%14(N=P5(NS(=O)(=O)C(F)(F)F)Oc4c(c2ccc1ccccc1c2)cc3ccccc3c4c8c(O5)c(c7ccc6ccccc6c7)cc9ccccc89)Oc%13c(c%11ccc%10ccccc%10c%11)cc%12ccccc%12c%13c%17c(O%14)c(c%15cccc%16ccccc%15%16)cc%18ccccc%17%18)C(F)(F)F,toluene,168,-78,195.15,92,92.5,7.5,,85.0,0.973689014842612,,,,Ic2ccc1ccccc1c2NS(=O)(=O)C(F)(F)F,2naphth_idp_1_1_m062x,8.98,1.7,4.42,38.74799,-0.04967,4.03008,0.02048,6.04967,-0.05145,4.0328,0.01954,6.05145,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,53.7917402646953,29.6967228048777,10.6941209998869,c2ccc1ccccc1c2,c4ccc3c1ccccc1c2ccccc2c3c4,O=C/C=C/c1ccccc1,8.49000217,1.7,6.958572686442744,0.0,22.722117360206475,8.515427476178637,9.66350507865466,1.7110877636488795,8.345309063630829,0.5139113618644879,0.0323533446621182,C=CC[Si](C)(C)C,6.61424586,1.7,5.512013905155385,0.0,29.71630163777372,6.994370405375263,137.61679711708243,4.170991879244986,6.247648490374438,0.7633213093170258,0.7392890920916102,6.61424586,1.7,5.512013905155385,29.71630163777372
